from,to,relation,source
Kaiser,ASVerlag,14,4
Alderson,1P,14,4
Alderson,VerlagA,14,4
Alderson,IBDE,14,4
Alderson,IBS,14,4
Alderson,AFD,14,4
Alderson,Sellner,14,4
Kerbl,DT,14,4
Kerbl,1P,14,4
Kerbl,VerlagA,14,4
Kerbl,IBDE,14,4
Kerbl,Sellner,14,4
Kerbl,Storch,14,4
Kerbl,ASVerlag,14,4
Schunke,AFD,14,4
Schunke,Sellner,14,4
Schunke,Storch,14,4
