from,to,relation,source
Hintsteiner,VerlagA,14,4
Hintsteiner,IBDE,14,4
Hintsteiner,IBS,14,4
Hintsteiner,AFD,14,4
Hintsteiner,AFD,14,4
Hintsteiner,Storch,14,4
Hintsteiner,ASVerlag,14,4
Hintsteiner,VerlagJE,14,4
Hintsteiner,Gerber,14,4
Hintsteiner,Alderson,14,4
Hintsteiner,Pettibone,14,4
Markovics,1P,14,4
Markovics,VerlagA,14,4
Markovics,ASVerlag,14,4
Markovics,VerlagJE,14,4
Markovics,Camus,14,4
Markovics,Gerber,14,4
Markovics,Pettibone,14,4
Markovics,Southern,14,4
Huemer,DT,14,4
Huemer,AHA,14,4
Huemer,1P,14,4
Huemer,VerlagA,14,4
Huemer,IBDE,14,4
Huemer,AFD,14,4
Huemer,Sellner,14,4
Huemer,VerlagJE,14,4
Huemer,Gerber,14,4
Huemer,Schunke,14,4
Huemer,Hoffgaard,14,4
Huemer,Pettibone,14,4
Huemer,Southern,14,4
Huemer,Kerbl,14,4
Rudolph,DT,14,4
Rudolph,AHA,14,4
Rudolph,1P,14,4
Rudolph,VerlagA,14,4
Rudolph,IBDE,14,4
Rudolph,IBS,14,4
Rudolph,AFD,14,4
Rudolph,Sellner,14,4
Rudolph,Storch,14,4
Rudolph,ASVerlag,14,4
Rudolph,VerlagJE,14,4
Rudolph,Camus,14,4
Rudolph,Gerber,14,4
Rudolph,Alderson,14,4
Rudolph,Hoffgaard,14,4
Rudolph,Pettibone,14,4
Rudolph,Southern,14,4
Rudolph,Kerbl,14,4
Rudolph,Meuthen,14,4
Winterfeldt,AHA,14,4
Winterfeldt,1P,14,4
Winterfeldt,VerlagA,14,4
Winterfeldt,IBDE,14,4
Winterfeldt,IBS,14,4
Winterfeldt,AFD,14,4
Winterfeldt,Sellner,14,4
Winterfeldt,Camus,14,4
Winterfeldt,Gerber,14,4
Winterfeldt,Schunke,14,4
Winterfeldt,Alderson,14,4
Winterfeldt,Kerbl,14,4
Winterfeldt,Meuthen,14,4
Southern,IBDE,14,4
Southern,AFD,14,4
