from,to,relation,source
DE,Hintsteiner,14,4
DE,Markovics,14,4
DE,Weiss,14,4
DE,Fiss,14,4
DE,Rudolph,14,4
DE,Winterfeldt,14,4
DE,Thaler,14,4
DE,Malenki,14,4
DE,Lichtmesz,14,4
DE,SteinB,14,4
ASVerlag,AHA,14,4
ASVerlag,VerlagA,14,4
ASVerlag,IBDE,14,4
ASVerlag,IBS,14,4
ASVerlag,Sellner,14,4
ASVerlag,VerlagJE,14,4
ASVerlag,Camus,14,4
ASVerlag,Schunke,14,4
ASVerlag,Pettibone,14,4
ASVerlag,Southern,14,4
ASVerlag,Kerbl,14,4
ASVerlag,SZSDE,14,4
ASVerlag,PE,14,4
ASVerlag,JF,14,4
ASVerlag,120D,14,4
ASVerlag,DE,14,4
ASVerlag,GI,14,4
ASVerlag,KR,14,4
ASVerlag,Kaiser,14,4
ASVerlag,Wegner,14,4
ASVerlag,Berit,14,4
ASVerlag,Lenart,14,4
ASVerlag,Markovics,14,4
ASVerlag,Rudolph,14,4
ASVerlag,Malenki,14,4
ASVerlag,Lichtmesz,14,4
ASVerlag,SteinB,14,4
OM,DT,14,4
OM,AHA,14,4
OM,1P,14,4
OM,VerlagA,14,4
OM,IBDE,14,4
OM,AFD,14,4
OM,Sellner,14,4
OM,VerlagJE,14,4
OM,Pettibone,14,4
OM,Fiss,14,4
OM,Southern,14,4
OM,LG,14,4
OM,SZSDE,14,4
OM,GI,14,4
OM,EK,14,4
OM,CP,14,4
OM,Kaiser,14,4
OM,Engeser,14,4
OM,Fiss,14,4
OM,Malenki,14,4
OM,Lichtmesz,14,4
OM,SteinB,14,4
GI,DT,14,4
GI,1P,14,4
GI,VerlagA,14,4
GI,IBDE,14,4
GI,IBS,14,4
GI,Sellner,14,4
GI,Camus,14,4
GI,Camus,14,4
GI,Fiss,14,4
GI,Southern,14,4
GI,Kerbl,14,4
GI,LG,14,4
GI,PP,14,4
GI,SZSDE,14,4
GI,PE,14,4
GI,120D,14,4
GI,DE,14,4
GI,OM,14,4
GI,Huemer,14,4
GI,Kaiser,14,4
GI,Berit,14,4
GI,Lenart,14,4
GI,Hintsteiner,14,4
GI,Weiss,14,4
GI,Fiss,14,4
GI,Rudolph,14,4
GI,Winterfeldt,14,4
GI,Malenki,14,4
GI,Lichtmesz,14,4
KR,1P,14,4
KR,VerlagA,14,4
KR,IBDE,14,4
KR,IBS,14,4
KR,Sellner,14,4
KR,ASVerlag,14,4
KR,VerlagJE,14,4
KR,Gerber,14,4
KR,Pettibone,14,4
KR,Southern,14,4
KR,Kerbl,14,4
KR,LG,14,4
KR,SZSDE,14,4
KR,PE,14,4
KR,JF,14,4
KR,DE,14,4
KR,Huemer,14,4
KR,Kaiser,14,4
KR,Wegner,14,4
KR,Quinn,14,4
KR,Engeser,14,4
KR,Berit,14,4
KR,Lenart,14,4
KR,Markovics,14,4
KR,Weiss,14,4
KR,Rudolph,14,4
KR,Malenki,14,4
KR,Lichtmesz,14,4
KR,SteinB,14,4
EK,1P,14,4
EK,IBDE,14,4
EK,Sellner,14,4
EK,VerlagJE,14,4
EK,Gerber,14,4
EK,Fiss,14,4
EK,Kerbl,14,4
EK,LG,14,4
EK,SZSDE,14,4
EK,PE,14,4
EK,Huemer,14,4
EK,Lenart,14,4
EK,Weiss,14,4
EK,Fiss,14,4
EK,Winterfeldt,14,4
EK,Thaler,14,4
EK,Malenki,14,4
EK,SteinB,14,4
AFD,Storch,14,4
AFD,Schunke,14,4
AFD,Hoffgaard,14,4
AFD,Southern,14,4
AFD,Meuthen,14,4
AFD,JF,14,4
CP,DT,14,4
CP,1P,14,4
CP,IBDE,14,4
CP,AFD,14,4
CP,Sellner,14,4
CP,Storch,14,4
CP,VerlagJE,14,4
CP,Schunke,14,4
CP,Hoffgaard,14,4
CP,Pettibone,14,4
CP,Southern,14,4
CP,Kerbl,14,4
CP,Meuthen,14,4
CP,LG,14,4
CP,DLF,14,4
CP,JF,14,4
CP,DE,14,4
CP,OM,14,4
CP,Huemer,14,4
CP,Kaiser,14,4
CP,Lenart,14,4
CP,Rudolph,14,4
CP,Winterfeldt,14,4
CP,Thaler,14,4
CP,Lichtmesz,14,4
CP,SteinB,14,4
IBS,DT,14,4
IBS,AHA,14,4
IBS,1P,14,4
IBS,VerlagA,14,4
IBS,IBDE,14,4
IBS,AFD,14,4
IBS,Sellner,14,4
IBS,VerlagJE,14,4
IBS,Alderson,14,4
IBS,Kerbl,14,4
IBS,Meuthen,14,4
IBS,LG,14,4
IBS,DLF,14,4
IBS,PP,14,4
IBS,SZSDE,14,4
IBS,PE,14,4
IBS,JF,14,4
IBS,120D,14,4
IBS,DE,14,4
IBS,OM,14,4
IBS,GI,14,4
IBS,KR,14,4
IBS,EK,14,4
IBS,CP,14,4
IBS,Naggert,14,4
IBS,Huemer,14,4
IBS,Kaiser,14,4
IBS,Wegner,14,4
IBS,Quinn,14,4
IBS,Berit,14,4
IBS,Lenart,14,4
IBS,Hintsteiner,14,4
IBS,Markovics,14,4
IBS,Weiss,14,4
IBS,Fiss,14,4
IBS,Rudolph,14,4
IBS,Thaler,14,4
IBS,Malenki,14,4
IBS,Lichtmesz,14,4
IBS,SteinB,14,4
IBDE,DT,14,4
IBDE,AHA,14,4
IBDE,1P,14,4
IBDE,VerlagA,14,4
IBDE,IBS,14,4
IBDE,AFD,14,4
IBDE,Sellner,14,4
IBDE,Storch,14,4
IBDE,ASVerlag,14,4
IBDE,VerlagJE,14,4
IBDE,Camus,14,4
IBDE,Hoffgaard,14,4
IBDE,Pettibone,14,4
IBDE,Southern,14,4
IBDE,LG,14,4
IBDE,DLF,14,4
IBDE,PP,14,4
IBDE,SZSDE,14,4
IBDE,PE,14,4
IBDE,120D,14,4
IBDE,DE,14,4
IBDE,OM,14,4
IBDE,GI,14,4
IBDE,KR,14,4
IBDE,EK,14,4
IBDE,Naggert,14,4
IBDE,Huemer,14,4
IBDE,Quinn,14,4
IBDE,Engeser,14,4
IBDE,Berit,14,4
IBDE,Lenart,14,4
IBDE,Hintsteiner,14,4
IBDE,Markovics,14,4
IBDE,Weiss,14,4
IBDE,Fiss,14,4
IBDE,Rudolph,14,4
IBDE,Winterfeldt,14,4
IBDE,Thaler,14,4
IBDE,Malenki,14,4
IBDE,Lichtmesz,14,4
IBDE,SteinB,14,4
Naggert,DT,14,4
Naggert,1P,14,4
Naggert,VerlagA,14,4
Naggert,IBDE,14,4
Naggert,IBS,14,4
Naggert,VerlagJE,14,4
Naggert,Fiss,14,4
Naggert,Meuthen,14,4
Naggert,LG,14,4
Naggert,PP,14,4
Naggert,SZSDE,14,4
Naggert,OM,14,4
Naggert,EK,14,4
Naggert,CP,14,4
Naggert,Huemer,14,4
Naggert,Kaiser,14,4
Naggert,Engeser,14,4
Naggert,Lenart,14,4
Naggert,Hintsteiner,14,4
Naggert,Weiss,14,4
Naggert,Fiss,14,4
Naggert,Thaler,14,4
Naggert,Malenki,14,4
Naggert,SteinB,14,4
Pettibone,Sellner,14,4
Pettibone,Southern,14,4
Pettibone,Kerbl,14,4
Pettibone,120D,14,4
Pettibone,DE,14,4
Pettibone,CP,14,4
Pettibone,Huemer,14,4
Pettibone,Hintsteiner,14,4
Pettibone,Weiss,14,4
Pettibone,Rudolph,14,4
Pettibone,Lichtmesz,14,4
Quinn,1P,14,4
Quinn,VerlagA,14,4
Quinn,IBDE,14,4
Quinn,Sellner,14,4
Quinn,VerlagJE,14,4
Quinn,Gerber,14,4
Quinn,LG,14,4
Quinn,SZSDE,14,4
Quinn,DE,14,4
Quinn,Kaiser,14,4
Quinn,Wegner,14,4
Quinn,Engeser,14,4
Quinn,Lenart,14,4
Quinn,Weiss,14,4
Quinn,Winterfeldt,14,4
Quinn,Malenki,14,4
Quinn,Lichtmesz,14,4
Quinn,SteinB,14,4
Engeser,DT,14,4
Engeser,AHA,14,4
Engeser,1P,14,4
Engeser,VerlagA,14,4
Engeser,IBDE,14,4
Engeser,IBS,14,4
Engeser,AFD,14,4
Engeser,Sellner,14,4
Engeser,VerlagJE,14,4
